,data,loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/osc_f,config/osc_pop_name,config/saveFolder,config/simLabel,logdir
36,"loss    0.0
dtype: float64",0.0,1719039587,,False,1,619dc_00036,2024-06-22_02-59-47,2559.0610349178314,2559.0610349178314,3522629,grid,10.0.0.101,2559.0610349178314,1,17.0,IT5B,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00036,619dc_00036
37,"loss    0.0
dtype: float64",0.0,1719039736,,False,1,619dc_00037,2024-06-22_03-02-16,2684.241692304611,2684.241692304611,3523276,grid,10.0.0.101,2684.241692304611,1,20.0,IT5B,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00037,619dc_00037
38,"loss    0.0
dtype: float64",0.0,1719039710,,False,1,619dc_00038,2024-06-22_03-01-50,2648.620859146118,2648.620859146118,3523915,grid,10.0.0.101,2648.620859146118,1,23.0,IT5B,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00038,619dc_00038
39,"loss    0.0
dtype: float64",0.0,1719039822,,False,1,619dc_00039,2024-06-22_03-03-42,2724.1579644680023,2724.1579644680023,3524566,grid,10.0.0.101,2724.1579644680023,1,26.0,IT5B,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00039,619dc_00039
40,"loss    0.0
dtype: float64",0.0,1719039874,,False,1,619dc_00040,2024-06-22_03-04-34,2750.737331867218,2750.737331867218,3525213,grid,10.0.0.101,2750.737331867218,1,29.0,IT5B,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00040,619dc_00040
41,"loss    0.0
dtype: float64",0.0,1719039879,,False,1,619dc_00041,2024-06-22_03-04-39,2753.921279668808,2753.921279668808,3525224,grid,10.0.0.101,2753.921279668808,1,32.0,IT5B,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00041,619dc_00041
42,"loss    0.0
dtype: float64",0.0,1719039751,,False,1,619dc_00042,2024-06-22_03-02-31,2609.8683598041534,2609.8683598041534,3526490,grid,10.0.0.101,2609.8683598041534,1,35.0,IT5B,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00042,619dc_00042
43,"loss    0.0
dtype: float64",0.0,1719039835,,False,1,619dc_00043,2024-06-22_03-03-55,2682.358167886734,2682.358167886734,3527130,grid,10.0.0.101,2682.358167886734,1,38.0,IT5B,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00043,619dc_00043
44,"loss    0.0
dtype: float64",0.0,1719039799,,False,1,619dc_00044,2024-06-22_03-03-19,2629.61727809906,2629.61727809906,3527773,grid,10.0.0.101,2629.61727809906,1,41.0,IT5B,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00044,619dc_00044
45,"loss    0.0
dtype: float64",0.0,1719042211,,False,1,619dc_00045,2024-06-22_03-43-31,2620.398126602173,2620.398126602173,3529381,grid,10.0.0.101,2620.398126602173,1,44.0,IT5B,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00045,619dc_00045
46,"loss    0.0
dtype: float64",0.0,1719042336,,False,1,619dc_00046,2024-06-22_03-45-36,2622.987370491028,2622.987370491028,3530137,grid,10.0.0.101,2622.987370491028,1,47.0,IT5B,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00046,619dc_00046
47,"loss    0.0
dtype: float64",0.0,1719042373,,False,1,619dc_00047,2024-06-22_03-46-13,2633.5781774520874,2633.5781774520874,3530773,grid,10.0.0.101,2633.5781774520874,1,50.0,IT5B,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00047,619dc_00047
